Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Direct Request: Unmediated	Direct Request: Mediated	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
"US AIR FORCE, FAIRCHILD AFB, FL4620"	FGJ	WA	Federal/Natl Government	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
"US AIR FORCE, MALMSTROM AFB, LIBR FL4626"	FGQ	MT	Federal/Natl Government	2	2	0	2	2	0	0	0	0	1:00:00	1:00:00	0:00:00
"US AIR FORCE, MOUNTAIN HOME AFB LIBR"	TYI	ID	Federal/Natl Government	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
"US ARMY CORPS OF ENG, PORTLAND DIST"	AFP	OR	Federal/Natl Government	1	1	0	1	1	0	0	0	0	3:00:00	3:00:00	0:00:00
US ARMY FT BRAGG	APB	NC	Federal/Natl Government	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
US ARMY WAR COL	AWC	PA	Federal/Natl Government	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
US MERCHANT MARINE ACAD	VYM	NY	Academic	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00
UTAH STATE LIBR	ULC	UT	State Library	2	2	0	2	2	0	0	0	0	0:00:00	0:00:00	0:00:00
UTAH STATE UNIV	UUS	UT	Academic	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
UTAH VAL UNIV	UV$	UT	Academic	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00
VALIER PUB LIBR	YVW	MT	Public	2	2	0	1	1	0	1	0	0	0:00:00	0:00:00	0:00:00
VALLEY OF TETONS LIBR	VTETL	ID	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00
